Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,Over2.5,HomeOdd,DrawOdd,AwayOdd,Over2.5Odd,Under2.5Odd,HomeTeamTotalGoals,AwayTeamTotalGoals,AvgGoalsHomeTeam,AvgGoalsAwayTeam,TotalAttemptsHomeTeam,TotalAttemptsAwayTeam,KicksInsideAreaHomeTeam,KicksInsideAreaAwayTeam,KicksOutsideAreaHomeTeam,KicksOutsideAreaAwayTeam,HeadersHomeTeam,HeadersAwayTeam,StealsHomeTeam,StealsAwayTeam,FoulsHomeTeam,FoulsAwayTeam,CornersHomeTeam,CornersAwayTeam,ErrorsHomeTeam,ErrorsAwayTeam
10/09/2016,Kerkyra,Platanias,0,1,A,FALSE,"2,40","3,00","3,20","2,57","1,46",0,0,0,0,,,,,,,,,,,,,,,,
10/09/2016,Levadeiakos,Panathinaikos,0,3,A,TRUE,"6,50","3,40","1,62","2,18","1,63",0,0,0,0,,,,,,,,,,,,,,,,
10/09/2016,Panionios,Asteras Tripolis,3,0,H,TRUE,"2,50","3,00","3,00","2,49","1,49",0,0,0,0,,,,,,,,,,,,,,,,
11/09/2016,AEK,Xanthi,4,1,H,TRUE,"1,36","4,33","9,50","2,19","1,62",0,0,0,0,,,,,,,,,,,,,,,,
11/09/2016,Giannina,Atromitos,3,0,H,TRUE,"2,40","3,00","3,20","2,57","1,46",0,0,0,0,,,,,,,,,,,,,,,,
11/09/2016,Olympiakos,Veria,6,1,H,TRUE,"1,13","8,00","19,00","1,49","2,49",0,0,0,0,,,,,,,,,,,,,,,,
11/09/2016,PAOK,Panetolikos,2,1,H,TRUE,"1,30","5,00","11,00","1,87","1,87",0,0,0,0,,,,,,,,,,,,,,,,
12/09/2016,AEL,Iraklis,2,2,D,TRUE,"1,75","3,25","5,25","2,44","1,5",0,0,0,0,,,,,,,,,,,,,,,,
17/09/2016,Platanias,Levadeiakos,3,2,H,TRUE,"1,80","3,30","4,20","2,58","1,45",1,0,1,0,,,,,,,,,,,,,,,,
17/09/2016,Veria,AEK,0,2,A,FALSE,"6,50","4,00","1,44","2,15","1,64",1,4,1,4,,,,,,,,,,,,,,,,
17/09/2016,Xanthi,Panionios,0,2,A,FALSE,"2,38","3,20","2,80","2,56","1,46",1,3,1,3,,,,,,,,,,,,,,,,
18/09/2016,Atromitos,Panetolikos,0,2,A,FALSE,"1,91","3,30","3,80","2,57","1,46",0,1,0,1,,,,,,,,,,,,,,,,
18/09/2016,Iraklis,Olympiakos,1,2,A,TRUE,"13,00","5,75","1,18","1,76","1,97",2,6,2,6,,,,,,,,,,,,,,,,
